QID,Industry
AR_GOV_01,"Government, Military"
AR_GOV_02,"Government, Military"
AR_GOV_03,"Government, Military"
AR_GOV_04,"Government, Military"
AR_GOV_05,"Government, Military"
AR_GOV_06,"Government, Military"
AR_GOV_07,"Government, Military"
AR_GOV_08,"Government, Military"
AR_GOV_09,"Government, Military"
AR_GOV_10,"Government, Military"
AR_GOV_11,"Government, Military"
AR_GOV_12,"Government, Military"
AR_GOV_13,"Government, Military"
AR_GOV_14,"Government, Military"
AR_GOV_15,"Government, Military"
AR_GOV_16,"Government, Military"
AR_GOV_17,"Government, Military"
AR_GOV_18,"Government, Military"
AR_GOV_19,"Government, Military"
AR_GOV_20,"Government, Military"
AR_LEG_01,"Legal, Accounting, Professional"
AR_LEG_02,"Legal, Accounting, Professional"
AR_LEG_03,"Legal, Accounting, Professional"
AR_LEG_04,"Legal, Accounting, Professional"
AR_LEG_05,"Legal, Accounting, Professional"
AR_LEG_06,"Legal, Accounting, Professional"
AR_LEG_07,"Legal, Accounting, Professional"
AR_LEG_08,"Legal, Accounting, Professional"
AR_LEG_09,"Legal, Accounting, Professional"
AR_LEG_10,"Legal, Accounting, Professional"
AR_LEG_11,"Legal, Accounting, Professional"
AR_LEG_12,"Legal, Accounting, Professional"
AR_LEG_13,"Legal, Accounting, Professional"
AR_LEG_14,"Legal, Accounting, Professional"
AR_LEG_15,"Legal, Accounting, Professional"
AR_LEG_16,"Legal, Accounting, Professional"
AR_LEG_17,"Legal, Accounting, Professional"
AR_LEG_18,"Legal, Accounting, Professional"
AR_LEG_19,"Legal, Accounting, Professional"
AR_LEG_20,"Legal, Accounting, Professional"
AR_TRN_01,"Transportation, Logistics, Travel"
AR_TRN_02,"Transportation, Logistics, Travel"
AR_TRN_03,"Transportation, Logistics, Travel"
AR_TRN_04,"Transportation, Logistics, Travel"
AR_TRN_05,"Transportation, Logistics, Travel"
AR_TRN_06,"Transportation, Logistics, Travel"
AR_TRN_07,"Transportation, Logistics, Travel"
AR_TRN_08,"Transportation, Logistics, Travel"
AR_TRN_09,"Transportation, Logistics, Travel"
AR_TRN_10,"Transportation, Logistics, Travel"
AR_TRN_11,"Transportation, Logistics, Travel"
AR_TRN_12,"Transportation, Logistics, Travel"
AR_TRN_13,"Transportation, Logistics, Travel"
AR_TRN_14,"Transportation, Logistics, Travel"
AR_TRN_15,"Transportation, Logistics, Travel"
AR_TRN_16,"Transportation, Logistics, Travel"
AR_TRN_17,"Transportation, Logistics, Travel"
AR_TRN_18,"Transportation, Logistics, Travel"
AR_TRN_19,"Transportation, Logistics, Travel"
AR_TRN_20,"Transportation, Logistics, Travel"
AR_UTL_01,"Utilities, Power, Infrastructure"
AR_UTL_02,"Utilities, Power, Infrastructure"
AR_UTL_03,"Utilities, Power, Infrastructure"
AR_UTL_04,"Utilities, Power, Infrastructure"
AR_UTL_05,"Utilities, Power, Infrastructure"
AR_UTL_06,"Utilities, Power, Infrastructure"
AR_UTL_07,"Utilities, Power, Infrastructure"
AR_UTL_08,"Utilities, Power, Infrastructure"
AR_UTL_09,"Utilities, Power, Infrastructure"
AR_UTL_10,"Utilities, Power, Infrastructure"
AR_UTL_11,"Utilities, Power, Infrastructure"
AR_UTL_12,"Utilities, Power, Infrastructure"
AR_UTL_13,"Utilities, Power, Infrastructure"
AR_UTL_14,"Utilities, Power, Infrastructure"
AR_UTL_15,"Utilities, Power, Infrastructure"
AR_UTL_16,"Utilities, Power, Infrastructure"
AR_UTL_17,"Utilities, Power, Infrastructure"
AR_UTL_18,"Utilities, Power, Infrastructure"
AR_UTL_19,"Utilities, Power, Infrastructure"
AR_UTL_20,"Utilities, Power, Infrastructure"
AR_PSYCH_01,"All Industries, All Jurisdictions"
AR_PSYCH_02,"All Industries, All Jurisdictions"
AR_PSYCH_03,"All Industries, All Jurisdictions"
AR_PSYCH_04,"All Industries, All Jurisdictions"
AR_PSYCH_05,"All Industries, All Jurisdictions"
AR_COGDEC_01,"All Industries, All Jurisdictions"
AR_COGDEC_02,"All Industries, All Jurisdictions"
AR_COGDEC_03,"All Industries, All Jurisdictions"
AR_COGDEC_04,"All Industries, All Jurisdictions"
AR_COGDEC_05,"All Industries, All Jurisdictions"
AR_MOTIV_01,"All Industries, All Jurisdictions"
AR_MOTIV_02,"All Industries, All Jurisdictions"
AR_MOTIV_03,"All Industries, All Jurisdictions"
AR_MOTIV_04,"All Industries, All Jurisdictions"
AR_MOTIV_05,"All Industries, All Jurisdictions"
AR_MOTIV_06,"All Industries, All Jurisdictions"
AR_MOTIV_07,"All Industries, All Jurisdictions"
AR_MOTIV_08,"All Industries, All Jurisdictions"
AR_MOTIV_09,"All Industries, All Jurisdictions"
AR_MOTIV_10,"All Industries, All Jurisdictions"
AR_DEPR_01,"All Industries, All Jurisdictions"
AR_DEPR_02,"All Industries, All Jurisdictions"
AR_DEPR_03,"All Industries, All Jurisdictions"
AR_DEPR_04,"All Industries, All Jurisdictions"
AR_DEPR_05,"All Industries, All Jurisdictions"
AR_DEPEND_01,"All Industries, All Jurisdictions"
AR_DEPEND_02,"All Industries, All Jurisdictions"
AR_DEPEND_03,"All Industries, All Jurisdictions"
AR_DEPEND_04,"All Industries, All Jurisdictions"
AR_DEPEND_05,"All Industries, All Jurisdictions"
AR_HIRE_01,"All Industries, All Jurisdictions"
AR_HIRE_02,"All Industries, All Jurisdictions"
AR_HIRE_03,"All Industries, All Jurisdictions"
AR_HIRE_04,"All Industries, All Jurisdictions"
AR_HIRE_05,"All Industries, All Jurisdictions"
AR_CAREER_01,"Professional Services (Law, Consulting, Accounting, Architecture, Engineering)"
AR_CAREER_02,"Professional Services (Law, Consulting, Accounting, Architecture, Engineering)"
AR_CAREER_03,"Professional Services (Law, Consulting, Accounting, Architecture, Engineering)"
AR_CAREER_04,"Professional Services (Law, Consulting, Accounting, Architecture, Engineering)"
AR_CAREER_05,"Professional Services (Law, Consulting, Accounting, Architecture, Engineering)"
AR_PROCESS_01,"All Industries, All Jurisdictions"
AR_PROCESS_02,"All Industries, All Jurisdictions"
AR_PROCESS_03,"All Industries, All Jurisdictions"
AR_PROCESS_04,"All Industries, All Jurisdictions"
AR_PROCESS_05,"All Industries, All Jurisdictions"
AR_PROCESS_06,"All Industries, All Jurisdictions"
AR_PROCESS_07,"All Industries, All Jurisdictions"
AR_PROCESS_08,"All Industries, All Jurisdictions"
AR_PROCESS_09,"All Industries, All Jurisdictions"
AR_PROCESS_10,"All Industries, All Jurisdictions"
AR_INST_01,"All Industries, especially Healthcare, Research, Manufacturing, Government"
AR_INST_02,"All Industries, especially Healthcare, Research, Manufacturing, Government"
AR_INST_03,"All Industries, especially Healthcare, Research, Manufacturing, Government"
AR_INST_04,"All Industries, especially Healthcare, Research, Manufacturing, Government"
AR_INST_05,"All Industries, especially Healthcare, Research, Manufacturing, Government, Defense"
AR_DEPEND3RD_01,"All Industries, especially Healthcare, Financial Services, Government, Critical Infrastructure"
AR_DEPEND3RD_02,"All Industries, especially Healthcare, Financial Services, Government, Critical Infrastructure"
AR_DEPEND3RD_03,"All Industries, especially Healthcare, Financial Services, Government, Critical Infrastructure"
AR_DEPEND3RD_04,"All Industries, especially Healthcare, Financial Services, Government, Critical Infrastructure"
AR_DEPEND3RD_05,"All Industries, especially Healthcare, Financial Services, Government, Critical Infrastructure"
AR_FOREIGN_01,"All Industries, CRITICAL for Government, Defense, Healthcare, Critical Infrastructure, Financial Services"
AR_FOREIGN_02,"All Industries, CRITICAL for Government, Defense, Healthcare, Financial Services"
AR_FOREIGN_03,"All Industries, CRITICAL for Government, Defense, Healthcare, Critical Infrastructure"
AR_FOREIGN_04,"All Industries, CRITICAL for Government, Defense, Critical Infrastructure, Strategic Industries"
AR_FOREIGN_05,"All Industries, CRITICAL for Government, Defense, Military, Critical Infrastructure"
