QID,Cluster_Group
AR_01,Cluster 5 - Operational & Infrastructure Risk
AR_02,Cluster 5 - Operational & Infrastructure Risk
AR_03,"Cluster 2 - Data, Privacy & Information Assets"
AR_04,Cluster 5 - Operational & Infrastructure Risk
AR_05,Cluster 5 - Operational & Infrastructure Risk
AR_06,Cluster 5 - Operational & Infrastructure Risk
AR_07,Cluster 5 - Operational & Infrastructure Risk
AR_08,Cluster 5 - Operational & Infrastructure Risk
AR_09,Cluster 5 - Operational & Infrastructure Risk
AR_10,Cluster 5 - Operational & Infrastructure Risk
AR_11,Cluster 5 - Operational & Infrastructure Risk
AR_12,Cluster 5 - Operational & Infrastructure Risk
AR_13,"Cluster 4 - Governance, Compliance & Legal"
AR_14,"Cluster 2 - Data, Privacy & Information Assets"
AR_15,"Cluster 4 - Governance, Compliance & Legal"
AR_16,"Cluster 2 - Data, Privacy & Information Assets"
AR_17,Cluster 5 - Operational & Infrastructure Risk
AR_18,Cluster 5 - Operational & Infrastructure Risk
AR_19,Cluster 5 - Operational & Infrastructure Risk
AR_20,"Cluster 2 - Data, Privacy & Information Assets"
AR_21,"Cluster 2 - Data, Privacy & Information Assets"
AR_22,"Cluster 4 - Governance, Compliance & Legal"
AR_23,Cluster 5 - Operational & Infrastructure Risk
AR_24,Cluster 5 - Operational & Infrastructure Risk
AR_25,Cluster 1 - AI Technical & Model Integrity
AR_26,Cluster 5 - Operational & Infrastructure Risk
AR_27,"Cluster 2 - Data, Privacy & Information Assets"
AR_28,Cluster 5 - Operational & Infrastructure Risk
AR_29,Cluster 5 - Operational & Infrastructure Risk
AR_30,"Cluster 2 - Data, Privacy & Information Assets"
AR_31,Cluster 5 - Operational & Infrastructure Risk
AR_32,"Cluster 2 - Data, Privacy & Information Assets"
AR_33,"Cluster 4 - Governance, Compliance & Legal"
AR_34,"Cluster 2 - Data, Privacy & Information Assets"
AR_35,"Cluster 2 - Data, Privacy & Information Assets"
AR_36,Cluster 5 - Operational & Infrastructure Risk
AR_37,Cluster 1 - AI Technical & Model Integrity
AR_38,Cluster 3 - Responsible AI & Ethics
AR_39,Cluster 5 - Operational & Infrastructure Risk
AR_40,"Cluster 2 - Data, Privacy & Information Assets"
AR_41,"Cluster 2 - Data, Privacy & Information Assets"
AR_42,Cluster 5 - Operational & Infrastructure Risk
AR_43,Cluster 1 - AI Technical & Model Integrity
AR_44,"Cluster 2 - Data, Privacy & Information Assets"
AR_45,"Cluster 2 - Data, Privacy & Information Assets"
AR_46,"Cluster 2 - Data, Privacy & Information Assets"
AR_47,"Cluster 2 - Data, Privacy & Information Assets"
AR_48,"Cluster 2 - Data, Privacy & Information Assets"
AR_49,"Cluster 2 - Data, Privacy & Information Assets"
AR_50,Cluster 1 - AI Technical & Model Integrity
AR_51,"Cluster 4 - Governance, Compliance & Legal"
AR_52,Cluster 1 - AI Technical & Model Integrity
AR_53,Cluster 3 - Responsible AI & Ethics
AR_54,"Cluster 2 - Data, Privacy & Information Assets"
AR_55,Cluster 3 - Responsible AI & Ethics
AR_56,"Cluster 2 - Data, Privacy & Information Assets"
AR_57,"Cluster 2 - Data, Privacy & Information Assets"
AR_58,Cluster 5 - Operational & Infrastructure Risk
AR_59,Cluster 5 - Operational & Infrastructure Risk
AR_60,Cluster 5 - Operational & Infrastructure Risk
AR_61,"Cluster 2 - Data, Privacy & Information Assets"
AR_62,Cluster 5 - Operational & Infrastructure Risk
AR_63,"Cluster 2 - Data, Privacy & Information Assets"
AR_64,Cluster 1 - AI Technical & Model Integrity
AR_65,Cluster 1 - AI Technical & Model Integrity
AR_66,Cluster 5 - Operational & Infrastructure Risk
AR_67,Cluster 1 - AI Technical & Model Integrity
AR_68,Cluster 5 - Operational & Infrastructure Risk
AR_69,Cluster 1 - AI Technical & Model Integrity
AR_70,Cluster 5 - Operational & Infrastructure Risk
AR_71,Cluster 5 - Operational & Infrastructure Risk
AR_72,Cluster 5 - Operational & Infrastructure Risk
AR_73,Cluster 5 - Operational & Infrastructure Risk
AR_74,Cluster 5 - Operational & Infrastructure Risk
AR_75,Cluster 5 - Operational & Infrastructure Risk
AR_76,Cluster 5 - Operational & Infrastructure Risk
AR_77,Cluster 5 - Operational & Infrastructure Risk
AR_78,Cluster 5 - Operational & Infrastructure Risk
AR_79,Cluster 5 - Operational & Infrastructure Risk
AR_80,Cluster 5 - Operational & Infrastructure Risk
AR_81,Cluster 5 - Operational & Infrastructure Risk
AR_82,"Cluster 2 - Data, Privacy & Information Assets"
AR_83,"Cluster 2 - Data, Privacy & Information Assets"
AR_84,Cluster 5 - Operational & Infrastructure Risk
AR_85,Cluster 5 - Operational & Infrastructure Risk
AR_86,Cluster 5 - Operational & Infrastructure Risk
AR_87,Cluster 5 - Operational & Infrastructure Risk
AR_88,Cluster 5 - Operational & Infrastructure Risk
AR_89,Cluster 5 - Operational & Infrastructure Risk
AR_90,Cluster 5 - Operational & Infrastructure Risk
AR_91,"Cluster 4 - Governance, Compliance & Legal"
AR_92,Cluster 5 - Operational & Infrastructure Risk
AR_93,"Cluster 4 - Governance, Compliance & Legal"
AR_94,Cluster 5 - Operational & Infrastructure Risk
AR_95,Cluster 5 - Operational & Infrastructure Risk
AR_96,Cluster 5 - Operational & Infrastructure Risk
AR_97,Cluster 5 - Operational & Infrastructure Risk
AR_98,"Cluster 2 - Data, Privacy & Information Assets"
AR_99,"Cluster 2 - Data, Privacy & Information Assets"
AR_100,"Cluster 2 - Data, Privacy & Information Assets"
AR_101,"Cluster 2 - Data, Privacy & Information Assets"
AR_102,Cluster 1 - AI Technical & Model Integrity
AR_103,Cluster 3 - Responsible AI & Ethics
AR_104,Cluster 5 - Operational & Infrastructure Risk
AR_105,"Cluster 2 - Data, Privacy & Information Assets"
AR_106,"Cluster 2 - Data, Privacy & Information Assets"
AR_107,"Cluster 2 - Data, Privacy & Information Assets"
AR_108,"Cluster 2 - Data, Privacy & Information Assets"
AR_109,Cluster 3 - Responsible AI & Ethics
AR_110,"Cluster 2 - Data, Privacy & Information Assets"
AR_111,Cluster 5 - Operational & Infrastructure Risk
AR_112,"Cluster 2 - Data, Privacy & Information Assets"
AR_113,Cluster 1 - AI Technical & Model Integrity
AR_114,"Cluster 2 - Data, Privacy & Information Assets"
AR_115,Cluster 5 - Operational & Infrastructure Risk
AR_116,Cluster 1 - AI Technical & Model Integrity
AR_117,Cluster 5 - Operational & Infrastructure Risk
AR_118,Cluster 3 - Responsible AI & Ethics
AR_119,Cluster 5 - Operational & Infrastructure Risk
AR_120,Cluster 5 - Operational & Infrastructure Risk
AR_121,Cluster 5 - Operational & Infrastructure Risk
AR_122,Cluster 5 - Operational & Infrastructure Risk
AR_123,"Cluster 4 - Governance, Compliance & Legal"
AR_124,Cluster 5 - Operational & Infrastructure Risk
AR_125,Cluster 5 - Operational & Infrastructure Risk
AR_126,Cluster 5 - Operational & Infrastructure Risk
AR_127,Cluster 5 - Operational & Infrastructure Risk
AR_128,Cluster 5 - Operational & Infrastructure Risk
AR_129,Cluster 5 - Operational & Infrastructure Risk
AR_130,Cluster 5 - Operational & Infrastructure Risk
AR_131,"Cluster 2 - Data, Privacy & Information Assets"
AR_132,Cluster 5 - Operational & Infrastructure Risk
AR_133,Cluster 5 - Operational & Infrastructure Risk
AR_134,"Cluster 2 - Data, Privacy & Information Assets"
AR_135,"Cluster 2 - Data, Privacy & Information Assets"
AR_136,Cluster 5 - Operational & Infrastructure Risk
AR_137,Cluster 5 - Operational & Infrastructure Risk
AR_138,Cluster 5 - Operational & Infrastructure Risk
AR_139,Cluster 5 - Operational & Infrastructure Risk
AR_140,Cluster 5 - Operational & Infrastructure Risk
AR_141,"Cluster 2 - Data, Privacy & Information Assets"
AR_142,"Cluster 2 - Data, Privacy & Information Assets"
AR_143,"Cluster 2 - Data, Privacy & Information Assets"
AR_144,"Cluster 2 - Data, Privacy & Information Assets"
AR_145,"Cluster 2 - Data, Privacy & Information Assets"
AR_146,Cluster 5 - Operational & Infrastructure Risk
AR_147,Cluster 5 - Operational & Infrastructure Risk
AR_148,Cluster 5 - Operational & Infrastructure Risk
AR_149,"Cluster 4 - Governance, Compliance & Legal"
AR_150,Cluster 5 - Operational & Infrastructure Risk
AR_151,Cluster 5 - Operational & Infrastructure Risk
AR_152,Cluster 5 - Operational & Infrastructure Risk
AR_153,Cluster 5 - Operational & Infrastructure Risk
AR_154,Cluster 5 - Operational & Infrastructure Risk
AR_155,Cluster 5 - Operational & Infrastructure Risk
AR_156,Cluster 5 - Operational & Infrastructure Risk
AR_157,Cluster 5 - Operational & Infrastructure Risk
AR_158,Cluster 5 - Operational & Infrastructure Risk
